path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
PR<-AD,2400,0.5362571080233863,0.534897137244605,-0.0013599707787813609,-0.25360424289602446,0.014502943118943226,0.014453499433837164,0.016897739049500586,0.984,1.0
PR<-AD:symbolic,200,0.13976572055347405,0.1414216975101649,0.001655976956690841,1.184823395981005,0.05871046320003579,0.05874587973853294,0.0590468094409336,0.942,0.644
PR<-AD:symbolic,400,0.13976572055347405,0.1409408433634315,0.0011751228099574351,0.8407804183282752,0.039458658783165096,0.039480657085661584,0.04135074636476483,0.958,0.936
PR<-AD:symbolic,800,0.13976572055347405,0.13877608181565174,-0.0009896387378223181,-0.708069714015894,0.029346684063646832,0.02935936691332439,0.029054311877511018,0.96,0.996
PR<-AD:symbolic,1200,0.13976572055347405,0.13932236687834706,-0.00044335367512698953,-0.3172120269320196,0.02413617988854944,0.02415627596439704,0.023714425609733348,0.946,1.0
PR<-AD:symbolic,1600,0.13976572055347405,0.13843348750715187,-0.0013322330463221843,-0.9531901249011505,0.020006186726479355,0.0199817718147004,0.02050221884005912,0.95,1.0
PR<-AD:symbolic,2400,0.13976572055347405,0.1392954275295482,-0.00047029302392584404,-0.33648667359930085,0.01639183376501342,0.016401495564887087,0.016724152284778665,0.956,1.0
RIA<-PA,200,0.37486706284310184,0.3736011309830992,-0.0012659318600026226,-0.33770154422158266,0.05539082182902846,0.0554318133501293,0.061883738570106955,0.968,1.0
RIA<-PA,400,0.37486706284310184,0.3733577430684951,-0.001509319774606721,-0.402628004486596,0.04015753957893122,0.040169355148389964,0.0434531087744967,0.97,1.0
RIA<-PA,800,0.37486706284310184,0.3732316392474711,-0.0016354235956307361,-0.436267615304167,0.029695305637150362,0.02967993199576398,0.030629834842133087,0.972,1.0
RIA<-PA,1200,0.37486706284310184,0.3733181344389468,-0.0015489284041550477,-0.413194051353402,0.024508891232568376,0.024484393832221604,0.02497879032409352,0.948,1.0
RIA<-PA,1600,0.37486706284310184,0.37364389184221636,-0.0012231710008854813,-0.32629460470742094,0.01962550699867026,0.01960696927487111,0.021614954188424934,0.968,1.0
RIA<-PA,2400,0.37486706284310184,0.37434726159543175,-0.0005198012476700931,-0.13866282188847995,0.01611342197532601,0.016121164918656124,0.017650637026792926,0.97,1.0
RIA<-frame,200,0.26874647189071826,0.27474674977639196,0.006000277885673699,2.232690849274217,0.12206099489850591,0.12203552137743957,0.12316300746154164,0.96,0.602
RIA<-frame,400,0.26874647189071826,0.2701273287593851,0.0013808568686668465,0.5138139522156083,0.08518869694969004,0.0852628102746223,0.08648388289144782,0.958,0.868
RIA<-frame,800,0.26874647189071826,0.27017130038031756,0.0014248284895992946,0.5301757003803117,0.06331831880949869,0.0633656829853268,0.060957223723032,0.946,0.99
RIA<-frame,1200,0.26874647189071826,0.2675515616228899,-0.001194910267828364,-0.4446236110254167,0.04653948964319804,0.04657074138993701,0.049724546203528446,0.97,1.0
RIA<-frame,1600,0.26874647189071826,0.2627820882248517,-0.005964383665866546,-2.2193346851711158,0.042146027122981725,0.04176364608131654,0.04301172972290995,0.956,1.0
RIA<-frame,2400,0.26874647189071826,0.26466590578746085,-0.00408056610325741,-1.5183701108833638,0.03652277074159625,0.03633044957129282,0.03511860243458737,0.934,1.0
RSV<-RIA:symbolic,200,0.11729259036049204,0.11911621533737779,0.0018236249768857488,1.554765711342374,0.06391232596056616,0.06395028600243258,0.05833246458621295,0.936,0.524
RSV<-RIA:symbolic,400,0.11729259036049204,0.12096965279235004,0.0036770624318580025,3.1349486105860676,0.04005849455408531,0.039929323806084216,0.04093631187512339,0.956,0.844
RSV<-RIA:symbolic,800,0.11729259036049204,0.11883844526837785,0.0015458549078858075,1.3179476240754269,0.02875801901160084,0.02874520069858209,0.028917271126469926,0.944,0.984
